"Name";"global_id";"Razdel";"Kod";"Nomdescr";"Idx";
"Трубки электронно-лучевые приемные телевизионные (кинескопы)";"273512282";"C";"26.11.11.110";"";"C.26.11.11.110";
"Трубки электронно-лучевые передающие телевизионные";"273512283";"C";"26.11.11.120";"";"C.26.11.11.120";
"Трубки электронно-лучевые прочие";"273512285";"C";"26.11.11.190";"";"C.26.11.11.190";
"Магнетроны, клистроны, приборы СВЧ и прочие электронные вакуумные или газонаполненные трубки";"273512287";"C";"26.11.12";"";"C.26.11.12";
"Магнетроны, клистроны, приборы СВЧ и прочие электронные вакуумные или газонаполненные трубки";"273512289";"C";"26.11.12.000";"";"C.26.11.12.000";
"Диоды и транзисторы";"273512292";"C";"26.11.2";"";"C.26.11.2";
"Диоды; транзисторы; тиристоры, диаки и триаки";"273512294";"C";"26.11.21";"";"C.26.11.21";
"Диоды";"273512296";"C";"26.11.21.110";"";"C.26.11.21.110";
"Транзисторы";"273512299";"C";"26.11.21.120";"";"C.26.11.21.120";
"Тиристоры";"273512302";"C";"26.11.21.130";"";"C.26.11.21.130";
"Диаки и триаки";"273512303";"C";"26.11.21.140";"";"C.26.11.21.140";
"Приборы полупроводниковые; диоды светоизлучающие полупроводниковые; приборы пьезоэлектрические; их части";"273512305";"C";"26.11.22";"";"C.26.11.22";
"Фоторезисторы";"273512307";"C";"26.11.22.110";"";"C.26.11.22.110";
"Элементы фотогальванические";"273512314";"C";"26.11.22.120";"";"C.26.11.22.120";
"Диоды лазерные (полупроводниковые лазеры)";"273512316";"C";"26.11.22.130";"";"C.26.11.22.130";
"Схемы интегральные электронные";"273512318";"C";"26.11.3";"";"C.26.11.3";
"Схемы интегральные электронные";"273512320";"C";"26.11.30";"";"C.26.11.30";
"Схемы интегральные электронные";"273512323";"C";"26.11.30.000";"";"C.26.11.30.000";
"Части электронных ламп и трубок, и прочих электронных компонентов, не включенные в другие группировки";"273512325";"C";"26.11.4";"";"C.26.11.4";
"Части электронных ламп и трубок, и прочих электронных компонентов, не включенные в другие группировки";"273512326";"C";"26.11.40";"";"C.26.11.40";
"Части электровакуумных приборов";"273512328";"C";"26.11.40.110";"";"C.26.11.40.110";
"Части прочих электронных компонентов, не включенные в другие группировки";"273512330";"C";"26.11.40.190";"";"C.26.11.40.190";
"Услуги, связанные с производством электронных интегральных схем; отдельные операции процесса производства электронных компонентов, выполняемые субподрядчиком";"273512332";"C";"26.11.9";"";"C.26.11.9";
